xe;ye;ze;alpha;beta;gamma
0.185808063;-0.08123631;1.047178626;-80.06239319;16.15977478;60.93567657
0.491583586;-0.612859964;1.426884413;-109.2481232;49.94957352;-11.14105225
0.120535076;0.231473416;0.870307624;-110.5682602;-82.87203217;56.65585709
-0.023458993;0.661685824;1.601801515;103.686676;-33.73202896;132.050705
-0.004257782;0.450904787;1.15912497;166.9839478;34.97436523;-155.489624
0.897441506;0.305919111;0.370336235;-29.6548233;12.52640247;105.3078308
0.14729622;0.300555944;1.863677979;171.2375031;24.82178116;164.039917
0.278869331;-0.026220059;0.90933907;81.64517975;-2.528434515;-68.83837128
0.282019049;0.167419702;2.01963377;36.93920135;34.77025986;-147.9391174
-0.07395348;-0.054473288;0.584942698;81.16947174;18.07314491;146.6936493
-0.089040652;-0.168226749;0.708280444;-87.89540863;17.02396202;15.78753853
0.046793669;0.828422427;-0.175648689;18.59576035;3.614537477;10.18548203
0.687541962;-0.576352715;1.684897304;86.03366089;19.82615471;-150.3582611
-0.747837901;0.774497807;1.451470494;165.0964966;49.75959778;65.24656677
0.595543146;-0.092811652;1.077314973;122.2224503;31.11194611;93.79067993
0.194413513;-0.108559266;0.966229677;163.0696106;13.86621571;-30.41059685
0.160145015;0.867099047;0.611273527;-171.372406;15.01626015;176.2041016
0.116252609;-0.153864235;0.063232616;-121.1800842;-32.47710037;163.2145386
0.794422388;-0.378533602;1.370427489;147.4338989;-35.77552032;-142.0450134
-0.547411919;-0.172646612;1.291947603;-142.3641205;-65.14985657;-30.90744591
-0.632137954;-0.194253266;0.035257656;-179.3314667;12.47472572;130.6500702
0.249209881;-0.020839954;0.869741023;86.05045319;78.68634796;-101.4580307
0.328504384;0.510726571;-0.041542772;-73.01802063;7.923415661;-16.46552849
0.474349916;-0.132087559;0.760356307;-68.83943176;-21.45933914;-144.7454987
0.157827675;0.581117213;0.244780481;-111.680687;-20.54769707;-88.69728851
-0.280266315;-0.076966792;1.304106951;88.42951965;-24.21658325;23.65056229
-0.586595178;-0.229548827;1.546870112;-91.74842834;75.67584229;34.51083374
-0.118728265;-0.824370146;0.115537971;12.52688694;42.44960022;167.5742035
-0.131828457;-0.054850817;1.365630388;-127.7686157;-50.86002731;-31.02687263
0.222392693;0.933490872;0.023499668;-178.799408;42.26255417;173.8169556
0.161866009;0.005573731;1.050889254;-80.47305298;-30.71008873;-156.8766174
-0.193901077;-0.135882661;1.017269135;101.9756393;-46.58982849;-56.55737305
-0.251937389;-0.393651843;0.123482905;146.3782043;-57.04770279;-44.38479996
-0.159630924;-0.293184489;1.071353078;-5.193107128;52.12548065;-10.67541313
0.375130117;0.903977692;1.007327437;31.51630974;-35.58670044;90.37534332
0.895337522;0.286988318;0.156315148;57.25067139;20.22102928;-75.75293732
-0.074790388;-0.119351149;0.751324296;-130.4178467;38.31343079;95.59487915
0.005841844;-0.843335867;0.987693429;13.69377899;66.05036163;-16.52822876
0.171687007;0.146220893;0.866839409;176.6238708;50.82469559;3.412974358
0.758174479;0.604634285;0.724677503;-166.7763214;-6.380892277;-136.8513184
-0.060585208;0.048322156;0.900505543;-106.3562393;-11.62159157;-19.11039734
-0.338549852;-0.097841755;0.438415468;-175.2202911;25.99340248;-55.00361633
-0.039901808;0.07044372;0.75004822;-84.69631958;43.07730484;-96.74874878
0.217671454;-0.139110833;1.037929773;38.25494385;70.40702057;132.1229553
0.593734086;0.323214531;1.565504074;-27.59731293;70.27590179;169.259079
-0.187808871;0.068920121;0.562046409;58.88018417;-61.32099533;76.61312866
-0.736963511;-0.58058697;0.501081049;11.44820786;-81.29180145;-86.24627686
-0.074128523;0.023431398;0.91462183;-123.1607132;8.662143707;-74.48116302
0.892401934;-0.129685983;1.024251938;-137.0970459;26.03579712;-46.7127037
-0.182297379;-0.112337291;0.565697014;133.9112396;-21.99778366;152.1175842
-0.04217954;0.153772131;-0.07899297;-56.03226471;4.393549442;-87.11227417
0.244857833;-0.065937579;0.992498636;91.21861267;-33.98569107;-13.23559189
0.207987934;0.181800812;0.90141964;171.1630554;66.27708435;149.4958496
0.953053117;-0.162971765;1.140342712;-152.792572;42.06305313;51.85946274
0.185533807;0.160735175;0.911982179;145.7883606;43.28385925;6.856386185
-0.601889968;0.408685684;0.192170098;89.59329224;5.473706722;-47.64071655
0.058813959;0.999648392;1.094217777;34.79401016;-48.86809158;66.56023407
-0.232681528;-0.08994998;0.603889465;71.72995758;-2.187148571;146.5040283
0.178492218;-0.206028476;-0.105579682;-75.80258942;32.60546494;136.5237274
-0.369671345;-0.099399157;-0.150642335;38.82792664;18.80202103;-37.75659561
-0.075293243;-0.041398495;0.897682667;-3.831946135;63.8955574;135.8167419
0.165132195;0.128547937;0.870099962;-18.27078438;-2.810084105;155.9870453
0.199943483;-0.012679055;0.603960633;175.4297791;-60.80072403;-64.73046875
-0.56575954;-0.579756677;1.714878559;-40.3577919;-23.21269417;117.1491394
-0.03147782;0.101534687;0.905394018;79.0419693;3.726336002;-143.5388794
0.242007941;-0.044764526;0.772523165;-32.56447983;-21.46550751;98.22389221
-0.188667953;0.070425086;0.803283632;32.95202255;64.73264313;120.5990524
-0.192759231;0.080073185;1.711662531;-52.13525772;30.4669323;164.0818787
-0.177818328;0.316715509;0.819264889;70.22080994;-46.34972382;-108.1830368
-0.120414346;0.980376005;0.651141047;-100.7764664;-60.35974884;-87.02745819
-0.056472439;-0.305976212;1.158723593;74.28846741;27.50319672;-37.56135941
0.379103363;-0.12862049;1.286447644;-146.6907806;-37.88647461;-121.6014938
0.440600455;-0.202576697;0.708998322;40.09253311;0.585928559;-127.0359879
0.04864797;0.180326626;1.149588466;1.649101257;-6.237259388;-60.67591858
-0.300061166;-0.076279871;0.635974884;-42.56583786;34.61911011;-133.080368
0.887411356;-0.31110093;1.443526745;93.47016144;53.99705124;-139.3466949
0.251440257;-0.088183776;-0.284330547;-161.0970001;-21.5053978;25.45131683
-0.099035069;-0.128423423;1.04202199;125.9996948;-34.17651749;64.25450897
0.267056435;0.094204769;-0.164924011;-87.407341;62.09779358;-102.5848312
-0.140972331;0.044395097;0.942012429;91.12897491;65.65625763;-172.7335968
-0.519237876;-0.388857275;0.593666196;17.93122864;-9.002126694;-29.54101181
-0.141412482;0.101491347;0.791920602;-33.18635559;7.353851318;-108.6232071
-0.465076894;-0.418054342;1.694378376;-12.41543674;-60.66865158;-81.35123444
-0.175037652;-0.027640317;0.610615253;-52.74660873;-25.12972069;-47.83198166
-0.273156762;0.307516992;0.82273072;-130.8783875;81.43917847;124.8401642
0.840585947;0.343194604;1.337029815;122.6332474;-6.391501904;-45.6193161
0.113347188;-0.251135707;-0.1277394;-34.53679276;-12.08654404;33.25896072
-0.032616694;0.234268457;0.832491994;-48.78992081;43.94752884;16.01600075
-0.284890741;0.741127789;0.041023407;-13.29014969;-9.07125473;160.1864624
0.34040913;-0.092516199;0.730894566;-137.7586517;37.66962051;141.8640289
-1.000166655;-0.299692482;0.78505218;172.2507629;56.11639404;-179.7118225
0.261793762;0.007760499;1.789932251;-24.10231209;62.33288574;-114.2144318
-0.131059274;0.211992621;0.951555073;-178.667984;9.04197216;169.0632324
-0.194944113;0.158312216;0.767315209;-131.1472931;-71.45682526;-125.2685242
-0.762585938;-0.132166088;0.277137578;-150.078598;25.48240662;-33.77976608
-0.117460728;-0.267370343;0.948804975;-116.3528061;-0.302959591;-138.1725159
-0.490153253;0.21277222;-0.088081151;32.64986801;-58.56290436;-158.3469391
0.278763413;0.099028058;0.803503633;60.45111465;2.073239088;-58.64359283
-0.033660203;0.337461144;0.803581595;22.2469368;-21.94277382;-53.18708038
-0.226699457;0.159627408;0.649931192;161.8869629;-41.68109512;-25.16087341
0.067216679;0.257186085;1.726505995;153.6901093;14.12533283;-24.05448341
0.077997431;-0.444033265;0.063580729;168.4271851;-20.22626305;141.5627441
0.326853871;0.014986992;0.799650669;138.1191406;44.94865799;-30.8688221
0.253781885;-0.6325804;1.052165031;-168.0516815;12.97032928;-41.11331177
-0.30473268;0.197627038;0.391466767;-109.2999573;12.44685459;3.239297867
-0.056114972;-0.348797411;0.766016901;-20.99534798;-32.78697205;-20.97673035
0.104816377;-0.087142922;0.88236773;111.4743195;-17.38308716;-39.96551514
0.077658191;0.099680796;0.554412007;-115.5694199;-60.95280075;70.4480896
0.851975918;-0.773593903;0.849511743;-22.12815475;69.07221222;-48.81148148
0.19951801;-0.004811659;0.579425812;126.743309;-26.86898422;-69.36233521
-0.420732141;-0.168925047;1.613708973;49.27411652;-64.87259674;22.22215652
0.058729708;-0.202704951;0.68204236;-128.3238678;-30.60113525;80.00724792
0.72440064;0.147764429;1.22001791;-31.159935;-46.82543564;61.24108887
0.009407807;-0.268373072;0.836817801;-3.399584055;-10.47879219;-148.3134308
0.722468376;0.718994975;0.61577785;-1.323657036;-16.50374794;9.766339302
0.153414235;-0.045555606;0.975540757;157.2513885;18.7794342;99.70543671
-0.25548768;-0.695560277;0.955812812;114.9131622;56.92551041;-81.1388092
0.199988306;0.139081746;0.708688557;106.5254669;74.64870453;-58.89028549
-0.309054196;0.101551101;0.888584852;-18.97840118;-13.14856052;110.5046844
-0.295593143;-0.985214651;1.43920207;148.2128143;5.804357529;-107.4382706
0.180260986;-0.17201148;0.701755166;155.8654785;42.74200058;123.4085007
-0.329620004;0.418148756;0.110247359;-175.5072021;18.34175301;150.4233093
0.074893713;-0.161997691;1.516991615;-70.75669098;-43.41560745;110.5628433
0.021600213;-0.148556843;0.588601708;-54.04837799;-19.70817566;179.8347473
-0.372035712;-0.4765957;1.257532358;8.555854797;-8.013570786;-6.783249855
0.415008962;-0.176227733;0.437801242;124.7264023;-4.31244278;90.77002716
-0.394078255;0.143065363;1.449109554;7.07077837;16.51066971;6.06408596
-0.056052197;0.261537075;0.65114224;-96.33690643;29.85920715;-4.014262199
-0.078055687;-0.016250189;0.856699109;162.192215;-32.86587524;-130.2137604
0.378515452;0.545970023;-0.035853922;-14.91573429;-19.63131523;-37.49443436
0.157550097;0.300707519;0.687589765;129.6570587;5.121143818;-0.534859121
-0.413421959;-0.201903582;1.654037595;172.1123047;5.495007515;-56.98211288
0.041963372;0.1284834;0.53817904;14.89881134;-31.447752;-100.5320206
0.244760185;-0.065737024;-0.078092538;116.4493332;-28.7454071;128.7685394
-0.906777024;0.323228896;0.712367535;-19.7030201;6.163635731;-100.9913101
-0.241935208;0.274363697;0.977573633;19.56039047;37.08047867;-33.99882889
-0.262087852;0.687284648;0.934696853;20.9930687;37.93297958;148.5426483
0.492736131;0.196041644;1.19045496;-17.95807076;-46.42202377;-132.4842072
-0.108942978;-0.265250891;0.034637932;27.12842941;-7.038279057;-126.3966904
0.018456846;-0.310485035;0.47268635;-22.49976921;-43.53081131;154.6652222
-0.11744298;0.121174537;-0.194354311;-75.93606567;69.48612213;5.425226212
-0.249302566;-0.632986665;1.286139488;-20.68830681;-40.6675148;143.3424225
-0.047684863;-0.315102637;0.735085011;-93.02294159;70.39920807;135.1930237
-0.206825256;-0.010125002;0.520391345;134.0970001;-19.18989944;-138.9837189
0.060952999;-0.304343134;0.574327588;156.871933;0.416705847;144.7709961
-0.116238572;0.375580579;0.250227839;-86.21187592;-6.88250351;-43.71117401
0.330407798;0.327939838;2.06636858;79.21590424;61.30654907;99.16572571
0.380839884;0.279954135;1.12408185;119.0879669;-7.322795868;-18.70229912
0.555063844;0.066165209;0.844397902;-133.3605347;-36.60498428;-86.21567535
0.245295167;0.059119031;1.075775146;160.8064728;-22.89633751;82.4176712
-0.043771327;0.109570682;0.950647593;-143.117569;60.7186203;83.79766846
-0.586624265;0.167018741;1.193680286;118.3874893;-34.49570465;-73.72395325
-0.285141855;-0.38575092;0.034286276;22.5668335;56.01753998;31.48093987
-0.217460424;-0.017440934;1.420174956;130.9049988;-20.88370323;5.303962708
-0.441577375;0.789302349;0.021621196;-94.77461243;-60.462883;73.85793304
-0.558727384;0.160136029;0.084319599;47.403965;-66.33169556;43.36559677
0.063158616;0.721781552;1.793601036;1.77224195;43.21250153;-20.11984253
0.133695692;0.251275837;0.955183685;-9.87674427;59.29146576;72.06949615
-0.407773107;0.457172215;1.187699676;96.7102356;-11.88396263;163.6835785
0.113970973;-0.220460385;1.115928888;-49.40703201;-35.18918228;-43.64648438
-0.795461595;0.782219291;0.660929561;-165.950119;-46.38833618;-49.0634079
0.254812658;-0.181459785;0.712412834;107.896965;16.66741943;-141.9252167
0.076476648;0.131435841;0.437928498;7.064774036;-7.218856812;17.67927361
-0.110408813;0.24050048;1.712508202;-80.34009552;-8.486027718;17.64888382
0.555892885;-0.336112052;0.244846344;-1.090049028;-9.053630829;-120.7782898
-0.268218994;0.082694083;0.405364633;-154.9030609;56.16347885;-55.64418793
-0.46384415;0.348632723;0.128574133;-10.39842129;32.72216415;155.6251526
0.422027111;0.586545706;1.926414251;12.68154526;-76.63134766;14.07945251
-0.103612505;-0.032128271;0.67476356;10.36696148;-19.62537766;95.55767822
-0.564478636;-0.486290157;0.98532331;-157.3794861;66.62560272;-1.425211668
0.409443855;-1.03161478;1.129725575;61.19434357;-6.316137791;87.39034271
-1.009836912;0.011427091;0.419223607;-179.7541809;7.312563419;107.8248138
1.1301229;-0.506066859;0.603438079;158.4848175;-25.55374336;-71.98902893
-0.048706088;-0.141708761;1.084574461;26.764534;-8.550840378;49.82313156
0.054715157;0.291580915;0.79219079;-18.9475193;-39.80294037;-71.23155975
-0.589163423;-0.266922235;0.747132719;1.452395916;18.66081047;-53.77401733
0.151794404;0.02470459;0.896653712;-1.483235955;-22.52895546;-155.8346558
0.089473441;-0.606636643;1.119775772;19.60400391;-49.6580658;-58.33123016
-0.167695656;0.153366119;1.100929976;48.28177261;3.632182837;-142.8717957
-0.124830768;-0.598265409;2.007367134;77.12149811;63.91102982;98.56531525
-0.022419233;0.352183104;0.868093371;-88.65213776;-64.67415619;127.3986664
0.048839897;-0.065152377;1.479678154;57.01707458;60.76988602;50.46139526
0.120676778;0.181952238;0.815263212;66.04362488;-6.571635246;88.09008789
-0.08220116;-0.293203771;1.932826996;-86.53862762;42.60416794;133.8075104
-0.972841978;0.818047047;0.573167205;-170.0287476;-18.6360302;-31.01985741
-0.00277366;-0.075571537;0.586193264;79.80466461;23.21165657;-77.63031769
0.149065107;-0.108653016;0.590775788;111.354248;25.84608841;-106.9776459
-0.035369895;-0.188445166;-0.24160561;-167.3482819;27.5378437;157.6034546
0.700284004;-0.831923306;0.888600349;125.4247818;13.96725273;27.41700745
-0.277108133;0.065149151;0.808113217;-153.7010803;45.48200989;172.6190643
-0.222043276;0.128935203;0.602848411;2.533850193;34.17020798;-155.2297974
0.411355138;0.529845536;-0.139531985;22.07844543;-43.70939255;82.62046051
-0.099737793;-0.252163529;0.637118399;-47.43663788;35.65774536;67.07077026
0.099614128;0.13857767;0.62891227;0.841517806;26.19176865;-15.23707485
-0.481872678;-0.165893152;1.185227036;-159.6114044;-12.90731907;54.06733704
0.178109482;0.453831881;0.45167923;15.61215591;-13.22443581;-118.5789261
-0.286208451;-0.146747723;1.176972389;-10.55108547;-15.84354591;-156.3005676
0.218683943;0.378699154;0.778874636;53.81777191;12.36299801;15.15796185
0.000475831;0.221492454;0.978099108;99.88128662;38.89440918;78.59122467
-0.22932747;-0.089729331;0.07172291;128.2836456;14.84125614;48.16996765
-0.096010059;-0.033766553;0.536946774;30.16157913;-23.85298347;-95.97858429
-0.104109377;0.292140871;1.796979189;-83.74430847;34.6997261;-6.500083447
0.041351825;-0.15333657;0.793187797;-92.17353058;-7.644517422;-87.10202789
0.304345578;-0.599155843;0.736936212;53.16490555;-56.8389473;-43.72237015
-0.230229244;0.099596769;0.82290256;-166.9411774;42.74120712;-110.1278305
0.043327969;0.197876513;0.575014591;-5.866933823;-76.22650146;8.936009407
-0.084403306;0.078909934;1.766279578;-173.1041412;20.51159859;23.86387825
0.924462974;-0.373887032;1.187069416;-15.83854485;30.87971878;-94.90507507
0.056835718;-0.090312406;0.832551718;-152.7702026;13.63882637;72.92371368
0.454392314;-0.316551;0.486807793;23.46380615;-0.741398454;-76.01779175
0.262940764;0.055395722;0.662004173;179.6820831;-11.84216976;-127.4419479
-0.588009238;-0.252898812;-0.27353853;0.007850588;-2.710711956;-115.5401077
-0.194052219;-0.236997098;0.815130711;-61.45500183;-13.75363159;27.30589104
-0.068388425;-0.198473826;1.307548046;31.04236221;17.35179901;-58.70322037
-0.191971332;-0.070627384;0.833360434;38.66991425;-15.93751717;29.44681358
0.242031097;0.457871318;-0.126536936;109.4037704;-24.45836258;92.17269135
0.275349587;-0.881346524;0.034392044;-30.11944008;-9.458266258;-128.1305847
0.224937767;0.129310802;0.733752608;175.2820892;21.07850838;71.96373749
-0.442155302;-0.257928848;0.657736421;145.8886414;23.96419334;-67.92810059
-0.081406698;-0.178839967;0.524087071;-147.1082306;21.30816078;79.40216064
0.010735922;-0.361509442;0.571528673;-32.67562103;37.25632477;156.5441132
-0.235964894;0.075796351;0.766798258;162.289856;68.89080811;-34.50964737
-0.218780577;-0.527076066;0.918765783;-164.9259949;9.163036346;-120.3683701
-0.125602394;0.223759875;0.820284009;140.6418762;-9.007900238;-105.0192337
-0.679311037;0.405341744;0.703930736;-120.9760513;-4.29058075;102.0840683
0.085401244;-0.193401515;1.202037573;148.9000702;67.78601074;72.41410828
-1.039282322;-0.242820993;0.807195067;-69.31377411;42.54698563;51.17835617
0.235624149;-0.057506539;0.91702956;-52.14711761;29.88752174;116.0966339
0.061870031;-0.192948222;1.562922359;-105.8577423;-43.61065674;59.25642776
0.293611169;-0.066335037;0.816773117;-125.6746216;-74.14958191;-125.1469574
-0.099758096;0.071456343;0.985462606;75.30968475;-13.00607967;-58.20558929
0.217192426;0.093356639;0.828333437;2.856913805;-38.00802994;168.7981873
-0.0749107;-0.161831006;1.350472808;131.2415771;-8.740543365;-146.6636353
-0.271018624;-0.262309909;0.979623795;-176.8236084;-33.81485367;156.7884064
0.089251913;-1.041776896;0.658308983;-162.8548279;30.98482513;57.88483047
0.301968217;-0.199154228;0.883168817;91.60137177;57.34724426;145.8210754
0.42805016;0.087280348;0.141581088;152.247467;11.15795612;-79.19532013
-0.501771212;0.084095508;0.980057061;-55.88531494;60.12099838;-166.9617004
-0.382217526;0.202337682;1.572383761;40.45518112;-36.58737183;55.05871201
-0.218342975;0.050217554;-0.281383574;-46.92419434;-60.00110626;140.6305389
0.158507168;-0.227739975;0.822389007;109.6592941;-21.72213554;126.6581955
-0.691883504;0.072675258;1.582446575;-82.48480988;7.562924385;-96.63801575
0.291308522;0.191354841;0.748729944;-79.12267303;31.05580521;-54.86687469
0.587495089;0.417868346;-0.063387811;91.86575317;25.79816818;55.92711639
0.049213678;-0.730882585;1.659828424;106.8373718;38.02296829;-72.90570831
-0.187528491;0.136520788;0.858771205;-139.4896698;18.26664352;-8.808391571
0.212510973;0.044467062;0.930138826;139.1737671;42.95984268;23.45335007
0.385667026;-0.105107695;0.469387949;-92.95329285;42.27643204;61.76243591
-0.514167428;0.810344696;0.416502923;81.93709564;-33.57138443;-94.4720993
0.084600419;0.00393676;0.913018703;84.52415466;-36.35855484;-120.5401382
0.086282276;0.186430767;1.269756079;48.18689728;17.80069542;109.2150955
0.020657623;-0.73448199;0.175538346;-158.9290161;3.362527609;-7.157921314
-0.44121325;-0.080250666;0.670294285;41.10548782;41.58526611;-17.74922371
0.057806805;-0.1878815;1.795367599;28.98885918;35.41847229;-173.319458
0.264417231;0.116083726;0.854792655;107.2175903;73.81009674;96.43978119
-0.650434971;0.068993025;0.576072395;81.86101532;29.90605164;-29.10843277
-0.370583415;-1.045062661;0.557795644;162.493576;41.45985413;77.92510986
0.417343318;-0.607599378;1.573932648;161.7662506;-47.7495842;43.99744034
-0.201365247;0.143995866;0.848424494;179.1338959;-14.3106842;90.91259766
0.21119155;-0.157102555;-0.182596207;160.3246002;15.62129498;75.24598694
-0.105640545;0.042202182;0.792359233;-70.45194244;9.674290657;147.8643494
0.301485687;0.544971585;0.69869256;167.3230133;-35.16451263;157.6874237
-0.292709887;0.162793368;0.833979964;55.63337326;45.40643692;111.1485291
-0.582644522;0.322524011;-0.114528611;2.999692678;24.76383591;-115.7167358
0.107797921;-0.122762315;0.952896118;-135.2876892;22.3261776;-89.34526825
-0.342603266;-0.450625241;1.405123234;-28.16200066;39.83942032;-121.490654
-0.340142727;0.044967622;0.688917756;-160.0773163;4.848474503;-123.7009277
0.212769255;-0.249707401;1.281337023;-117.0977707;-56.55921936;-175.5276337
-0.104765043;1.198178053;0.65082705;-18.71946144;34.87230301;-148.7112427
-0.191667616;-0.189226151;0.640679657;-164.1764374;-47.11545181;-178.5002289
0.014100473;-0.063520692;0.747621417;-141.9724121;32.07064438;144.4377899
0.209227517;0.295390457;0.114730045;-29.38785172;-42.78535843;-65.09882355
-0.320911556;0.127490595;0.895549417;42.57698822;-52.75716782;-86.54016113
-0.242657989;-0.24992156;0.074450374;60.86500931;-28.89995384;145.6522369
0.808775842;0.083636962;0.181460947;32.11487579;-56.14339066;-173.5769501
0.106562614;-0.190933883;1.085461378;8.260104179;34.11368179;158.0417175
0.304506153;-0.051330134;0.001760289;168.2225647;-9.458106995;-99.18983459
0.249081701;-0.047318678;0.871740043;79.58666229;58.07537842;177.8973846
-0.05697481;-0.285391212;1.057386518;38.63376617;-12.88219452;170.4493866
0.607441425;0.290727884;0.699133992;99.96521759;-11.07044315;5.798816204
-0.140264437;0.119028948;1.098203063;21.62885857;17.58965683;123.4436188
0.08876051;0.150219813;0.791157365;-176.6276703;-13.17733669;-146.4151154
1.192415237;-0.456505716;1.150872946;-40.04718018;7.069084644;50.48659515
0.17960912;-0.001840286;0.820823193;169.892868;34.23465729;8.289171219
0.069501825;0.562681675;-0.005567374;-97.11917877;41.14259338;-21.91191292
0.208172664;0.046330348;0.970269144;179.353302;6.49330616;-80.41439056
0.297877699;0.115558505;1.378564358;6.607691288;-47.50242233;0.128276125
0.218976408;0.227283984;0.763981342;102.5102997;-49.64366531;-44.45888519
0.355072051;-0.987084925;0.524270356;63.02542114;2.961813211;99.96878052
0.342443049;-0.230133504;0.192686915;36.96608734;-79.67935944;-18.71533585
