theta1;theta2;theta3;theta4;theta5;theta6
223;179;-274;18;-126;33
-73;-61;-230;-176;-346;305
111;312;-243;304;212;56
-43;-175;182;-196;-314;193
123;155;102;-58;-79;228
-132;227;208;254;4;98
325;-40;-317;264;95;-104
358;-199;110;76;-81;-258
-342;-57;-228;163;-93;246
169;51;-233;330;-169;306
-199;-91;-297;101;-230;-328
161;-110;116;-84;92;-345
296;217;177;226;-84;85
54;22;-162;-181;-35;-196
220;350;-339;26;-298;218
353;-312;317;-347;133;205
25;278;288;91;-261;-203
-229;-330;-283;84;317;-105
-64;349;321;127;352;192
-118;117;-184;-147;130;20
-64;74;181;60;37;60
9;-301;158;358;-105;340
-111;279;-33;-62;-204;-270
-138;163;204;140;-353;247
305;195;-330;-88;147;165
-199;-167;125;-16;89;-190
-233;238;192;313;-283;-229
-289;-7;-221;285;-289;-329
41;196;-136;-231;-116;-209
7;293;93;-287;-79;-321
1;-49;359;225;-10;284
-261;-79;308;301;154;85
-113;314;-271;166;106;240
-73;180;242;-128;38;345
36;-122;86;-100;185;-62
-6;140;341;-124;244;172
327;-337;-103;117;-158;-194
152;90;65;116;-326;-109
-35;-187;155;257;-158;167
-261;243;-261;64;-97;221
3;-8;272;-106;-36;334
-330;341;-224;120;62;126
-100;87;224;-347;-300;342
109;-194;-70;-273;-167;-175
-121;-251;-110;-273;277;-293
310;-73;-326;-114;170;212
32;134;284;-321;-142;-327
-220;159;160;272;59;-310
305;217;-154;31;350;156
244;-48;-21;44;-166;180
3;106;-139;-260;-18;-99
208;202;121;-264;-345;43
-144;317;347;-154;217;286
70;277;320;35;165;55
-342;-39;105;15;-92;315
238;252;-92;67;269;313
121;-211;111;-309;-67;120
313;224;-11;185;-60;340
352;263;-80;-33;-183;205
276;298;42;71;-253;288
-36;-212;288;189;276;-155
125;118;-272;-67;-162;156
-156;286;235;-79;-2;140
241;79;54;-125;-31;154
277;159;-347;126;-44;-45
-276;227;-126;-183;-113;-90
34;45;-75;-73;11;114
325;160;-72;239;-264;-317
-300;-242;-127;-143;-352;29
-292;-255;95;259;342;51
358;39;11;-122;-50;-6
-309;280;-314;-46;235;-76
82;230;278;311;-223;-174
287;67;3;81;230;23
-215;-33;-52;336;87;141
159;-110;12;41;-248;45
140;-53;242;167;-101;-33
-82;199;169;-50;140;321
205;148;-282;-79;66;-29
-324;-196;241;-349;262;-304
122;0;-203;52;-272;123
72;-320;-320;-251;-346;-47
240;85;15;262;-290;294
-283;12;-257;43;-357;192
251;301;351;4;-165;-288
6;62;190;-301;117;12
-237;316;65;-43;319;112
-35;245;24;39;130;-96
-188;57;265;-67;-279;-40
-144;-71;240;-69;-79;-101
-259;-173;-298;-51;-175;-146
-54;-275;-4;149;-185;206
-307;-77;-358;-201;-360;-224
-258;-167;-234;-261;71;289
317;-201;-12;-89;17;-170
-311;-46;-235;-342;328;-50
333;189;-355;130;148;105
38;-203;196;-196;-93;282
257;-70;-131;78;296;295
66;-121;255;-42;292;-337
23;156;-231;-118;-225;-128
-69;35;-325;38;-162;-186
-185;-249;329;314;230;165
-234;-101;-224;-360;-132;144
90;31;-44;-153;1;189
189;55;179;105;-272;3
-110;-294;-254;-218;124;-49
140;-175;-353;23;-159;322
293;-77;-343;124;243;340
-319;-36;59;135;158;108
164;-91;59;-277;-319;346
-155;68;333;-227;-221;-114
312;-79;-164;-251;-74;-90
-266;-47;-295;83;-353;53
209;-191;-37;50;-316;-3
103;-201;243;340;250;4
-159;178;-190;330;87;72
-236;-295;-176;259;296;144
162;-195;55;224;-69;352
-296;-129;8;-317;163;41
21;238;259;208;-131;-34
182;-281;-281;-166;18;341
152;-136;-150;253;297;100
-176;-297;244;61;323;-316
61;-155;236;-223;-41;-77
235;128;-211;-131;-264;124
51;-238;-254;-17;294;38
-337;-322;220;-35;-85;209
-98;23;153;268;-124;108
342;-306;63;-62;-138;-170
187;357;-226;203;-219;355
218;-55;165;-1;223;-103
-308;66;296;-221;-49;180
-332;322;190;42;-228;-1
13;356;256;333;129;-70
314;-15;-193;-75;148;42
185;357;333;25;334;-277
-323;-141;58;22;289;29
-49;31;153;-348;217;-258
-16;-175;-94;117;-238;-159
-218;-220;-125;274;-21;-69
-231;338;-67;248;83;-89
272;205;-25;226;287;-51
-119;70;290;146;-88;169
327;31;29;-136;-309;-229
-293;-26;-354;299;103;-359
-339;-210;-32;-269;-354;164
-105;202;-46;-46;-325;-325
-295;68;-187;246;258;334
-8;-202;-197;27;189;-110
-28;100;301;-244;155;56
-48;277;-77;-231;96;89
-124;218;360;347;-269;-193
-343;77;-281;-67;277;35
-94;-210;-43;329;-271;-21
257;-329;138;345;-156;-264
134;295;80;288;-221;183
-111;-59;-248;230;90;172
220;-312;325;-2;184;175
239;-248;-31;85;312;242
285;59;60;256;-335;278
-67;-334;177;-249;-257;76
-177;-127;-71;-68;-82;79
-240;-225;-292;-127;194;-192
173;139;234;236;-149;-137
17;-126;239;224;41;-171
130;-192;-31;-83;28;355
184;346;-191;21;-323;185
74;258;352;310;-65;-360
29;-211;-202;-126;-291;178
179;31;-117;240;38;330
283;-103;33;-111;89;214
177;-270;232;-342;-62;167
203;-96;177;283;-186;-267
-198;-108;-154;308;-324;67
-243;244;-240;2;360;-104
-327;-206;-74;-120;-195;314
132;333;-45;317;-356;80
217;-193;312;190;235;53
211;-123;-199;-135;61;238
-151;-70;261;83;354;-214
236;127;-181;-17;-73;72
217;-285;232;246;-105;-50
52;145;175;186;-80;-51
329;53;252;-161;88;64
334;-299;0;16;-295;292
277;-44;203;-253;86;-173
-39;248;-219;-141;-12;-117
215;351;-246;-190;146;-90
342;341;104;260;-71;95
350;43;313;159;-12;100
279;-217;-75;355;-70;115
289;357;110;-282;-334;85
48;333;177;117;17;-173
333;29;-339;142;14;-318
281;-122;-195;-278;-136;-196
110;-313;-162;-157;274;-40
185;74;204;-278;345;251
-324;-24;-126;94;-194;58
74;72;-37;-335;10;-67
-283;-29;-35;37;220;145
268;-323;-202;-29;331;209
-35;-120;-318;174;5;-216
-52;-239;181;-95;319;-348
237;91;28;109;163;-292
272;-350;-148;-231;307;-311
58;99;109;263;-320;228
21;140;-207;31;146;329
-40;-299;-319;93;214;138
-112;322;15;327;-307;-211
198;299;204;-147;-251;251
205;-165;-196;-129;238;232
51;52;-154;144;214;-42
-39;-25;-159;126;291;295
178;-173;137;-265;-271;-223
-255;61;-308;232;161;307
-5;112;281;28;-157;343
-334;-125;341;-97;-138;-273
300;-263;-121;287;0;83
60;143;-339;20;-337;236
-115;250;-183;59;316;-326
-322;-346;131;71;-278;214
85;-310;-311;-262;208;-294
-189;-185;-285;258;143;169
109;12;-125;117;-276;-254
-346;335;339;-271;-23;113
-151;184;42;-52;-168;183
287;165;-67;316;-176;24
328;-167;-180;308;-311;-145
66;-214;98;215;1;109
213;-192;73;-279;11;244
303;-1;-160;110;301;7
342;-218;-280;-146;-75;-57
-136;140;-294;-71;-148;-140
-284;68;-157;-249;-360;-156
37;267;-330;292;-266;241
217;301;-262;3;-69;-235
54;77;-206;14;353;-7
141;-64;-335;-149;217;-111
-300;8;-96;173;18;220
228;-224;-271;231;99;-349
285;11;32;77;188;256
-84;-299;169;-121;245;-92
237;-233;-267;274;-329;135
169;-45;-87;346;-73;-43
-247;-125;-134;284;-182;-137
-66;150;-257;268;-301;-28
-339;183;144;-206;130;41
253;42;290;-58;-102;-8
-176;309;-24;-177;-50;146
-70;-229;257;61;-91;-201
-203;16;-48;174;-310;250
130;-262;258;-216;77;31
-243;-356;196;191;-57;-320
62;-235;165;25;-178;301
186;279;-311;-228;171;142
200;1;-54;80;257;123
17;-145;147;-85;49;280
247;288;317;227;-360;-358
-297;-173;-344;-55;-115;30
307;-145;-117;259;-115;-261
6;257;-83;141;92;-36
-19;324;-300;-159;-38;63
272;-22;-45;177;-23;260
-24;-1;-9;-195;-299;-312
280;-192;261;153;269;316
-260;-76;346;104;286;-13
-350;89;-194;20;162;77
64;-48;-184;-51;-353;78
330;-292;-335;278;-182;-354
227;-259;274;-292;-106;67
61;121;107;-48;-260;182
-186;108;258;-300;340;-338
242;242;-325;33;320;-129
221;73;209;216;-325;-156
111;-7;341;179;49;-145
-176;279;-38;228;-290;259
-341;288;288;17;-274;-232
149;239;-335;186;330;-113
100;-113;-204;206;161;-159
59;-57;-294;-343;-6;-160
-116;-153;-237;-73;143;-214
120;-41;-48;-234;-221;84
-167;43;321;155;129;331
199;78;323;-317;-167;351
196;-18;130;-60;-86;-207
-84;-339;-20;-120;343;40
250;-66;-27;235;354;17
307;172;49;338;234;331
106;-87;-17;297;-350;-248
-20;31;-317;114;281;-281
-45;-158;350;78;-178;-265
32;236;243;240;-214;32
270;-273;257;288;-203;-305
-19;242;-22;-62;2;-270
-265;267;74;-169;263;-319
-30;160;-116;-71;19;284
201;-310;-159;-87;263;-58
-188;70;-15;287;313;229
151;175;288;-313;-118;-357
237;5;-96;-197;25;-152
-311;-299;-311;-65;-272;-41
288;-106;-274;50;270;-109
-330;-258;-305;173;-31;121
144;51;93;272;117;271
-23;-259;-311;154;-138;123
110;22;155;3;-9;-2
314;-80;-276;-187;133;245
339;-205;188;61;-70;7
-3;109;176;-143;-296;235
-80;198;-231;-282;292;271
360;263;-334;32;359;8
269;-310;352;305;46;-49
-117;159;-351;-91;305;34
-19;-2;-138;325;348;10
355;-32;-53;-207;-221;240
163;21;237;9;37;-207
63;-258;-323;132;78;-202
-68;94;40;-269;-239;-360
-59;-8;-245;120;-348;-274
326;343;-338;-4;262;-185
241;226;93;-359;-87;292
130;-87;95;-185;51;347
252;-156;132;-102;351;-300
-180;224;-300;23;217;172
-258;-45;-108;-16;63;-255
292;101;-243;48;311;204
134;-24;-173;50;-181;-130
296;278;212;307;-232;13
92;298;118;-80;173;229
72;-299;305;-322;19;-275
-86;226;-185;277;153;-88
-181;-178;193;-325;134;87
178;344;-84;-173;272;221
-28;-295;46;-225;23;-105
-134;163;11;210;-213;128
-323;217;129;322;-294;294
7;83;-133;-305;253;-256
-93;88;359;13;354;-197
-74;142;-314;179;-57;224
-87;-130;350;157;-63;-289
169;99;-307;-274;347;-2
-344;-322;-259;284;-25;44
-4;-312;287;-152;-167;68
-17;-95;112;316;87;-157
-213;-44;-341;271;79;-214
14;-322;261;-41;35;48
130;-93;-304;-31;-326;172
-333;328;175;315;10;-187
-173;187;356;-103;182;-281
70;-50;166;-172;-292;-35
101;-265;-34;110;236;-138
-70;277;145;-186;187;-151
-160;-356;-90;-45;-141;-151
-186;315;260;-74;-15;47
-7;-166;353;-228;261;-337
-121;179;104;-238;326;31
-179;57;300;285;-13;-41
-136;-321;183;-265;-104;-75
278;-345;248;-153;-180;-8
165;-214;-205;343;67;-141
337;285;-223;-359;153;265
-275;-332;71;75;12;-355
136;322;269;-279;-105;-186
44;81;-144;215;213;203
-107;-321;150;355;-243;-279
298;-13;254;223;-226;-182
-321;79;200;8;-340;354
1;-121;-235;91;54;181
-250;-103;-257;253;-117;-162
-356;218;-2;27;267;161
121;-232;36;332;69;222
349;278;-206;-336;-35;-351
-19;325;-181;-82;-49;239
234;-34;-86;307;174;171
322;7;210;-34;252;-79
172;344;17;-51;-211;-127
-281;-90;-123;-114;229;23
15;198;-274;90;-111;-119
54;262;-217;124;290;-217
-145;-3;281;1;-161;24
54;-63;-350;146;5;-86
-314;-102;-192;-214;226;-77
-322;-90;198;-241;297;-130
-123;-213;193;-310;324;-246
-154;135;-259;9;160;309
167;180;-67;-188;15;-203
247;117;228;212;-22;-137
135;351;195;238;149;69
182;-2;263;-311;338;-289
34;-70;-283;162;82;204
48;224;55;320;268;5
208;-19;237;-128;343;-160
-308;181;239;305;-125;219
28;-26;231;326;-306;150
-191;-73;-167;240;357;108
147;312;135;49;-86;97
-99;-67;-95;-23;2;296
-212;-116;53;-9;-171;57
273;-317;-43;-300;46;28
193;-192;63;-30;260;116
-105;-110;-178;326;-145;-246
-100;174;148;145;-356;-91
289;-131;70;-146;-270;-80
229;347;261;-300;-117;-190
-131;349;35;180;246;-240
291;-285;177;165;157;-264
-39;6;22;259;128;221
23;329;-312;30;-157;-14
133;-210;78;-125;275;-264
-287;331;-250;-251;-248;-296
-33;122;239;209;153;-20
150;330;4;-141;209;-190
-192;-25;86;83;-272;-271
-155;170;-64;237;314;-73
-323;51;179;-130;-5;-201
317;-13;29;-201;-291;-317
230;196;-219;285;133;113
354;-336;-55;-7;60;-300
115;-323;41;153;-9;85
-206;105;-86;-286;-88;-171
-187;89;17;-63;-203;259
260;-156;83;202;328;303
-83;-243;214;-278;-246;-104
251;60;62;307;54;-353
223;78;-14;-167;-174;-14
-197;-325;-238;-174;-218;76
233;224;218;150;259;203
-214;356;-293;109;-205;-185
-116;-218;5;325;-76;61
77;155;-71;259;303;181
-155;214;-258;3;80;147
-84;165;279;-320;-261;262
-56;-64;331;180;347;-192
-291;-83;0;51;344;-5
-71;357;-172;119;335;123
-145;22;-359;277;-69;-143
325;-28;-153;-299;59;-250
-308;58;-154;-100;162;258
-110;333;327;-212;193;83
302;74;146;176;-83;-179
-334;-20;105;-159;13;-183
-146;108;282;260;-209;-73
280;-176;337;86;-241;235
112;33;-179;-332;-192;-100
96;350;-211;185;279;-20
-246;224;-17;-277;271;97
-290;294;-335;-332;352;134
-89;3;190;-325;163;145
-30;59;-116;-237;-73;303
-198;-100;-126;-300;9;240
292;161;-84;-146;138;274
306;-302;-12;-268;-178;277
-219;-273;32;-134;-85;210
245;130;-60;103;-206;85
126;73;-111;-98;-237;213
-5;-105;198;-190;249;228
250;-94;-84;261;-26;51
141;332;33;98;51;308
262;-238;-232;-185;182;-217
348;151;-234;258;295;333
51;45;-233;10;35;-241
-4;25;-217;89;-342;-131
24;-125;74;-100;-263;298
101;114;126;176;247;12
-251;-86;231;-237;-123;336
221;-200;360;-315;-54;-69
-72;-280;-55;82;352;-202
-105;-169;-150;-225;-344;-36
-185;266;21;299;342;62
-275;308;67;277;-54;77
-309;306;102;-285;144;-75
-299;-206;-181;-197;146;183
34;39;94;350;97;72
295;51;-119;330;-43;73
159;129;-207;-302;-163;265
43;-26;-50;198;111;114
-244;-49;4;-90;-14;-114
200;-84;153;-14;165;315
12;291;-203;269;-301;-25
-345;222;-231;-241;-230;138
-206;-146;193;1;295;-319
-46;52;47;233;-270;-144
-359;325;192;181;-260;-109
-251;-2;223;96;136;101
165;259;92;-230;53;-243
293;-305;-116;58;-18;220
22;-197;151;-253;114;97
-195;-229;-241;-253;-214;328
-349;330;-342;340;-146;18
261;286;-224;116;318;343
-283;-232;178;-325;-309;-8
252;358;-357;31;261;295
249;273;177;-276;7;-239
239;309;-238;277;-81;-85
-165;265;174;-38;151;320
-235;-184;102;223;255;-73
-277;-303;-101;237;-206;210
112;-342;206;305;-6;241
-266;187;307;240;-173;-207
16;-74;-15;356;75;321
-7;-45;197;176;-41;-322
-297;215;112;-337;41;158
-281;-204;224;-261;275;305
-351;-89;-240;29;-287;-332
312;340;-100;104;-312;-211
-332;-22;-252;354;-53;328
162;58;29;148;-357;204
308;-355;234;193;358;-196
302;102;-285;-167;190;220
-285;-22;-203;305;-130;258
-173;273;-225;187;-338;103
48;-89;-207;211;-256;-8
-351;-226;-11;244;-259;167
138;-336;-8;340;-279;175
100;68;-1;49;-53;-306
-151;44;96;311;344;-293
117;74;-19;-104;-18;123
331;-296;215;65;297;-288
-149;-323;3;193;-156;-198
-122;-34;171;7;-85;292
335;92;-265;85;-84;354
-154;149;25;-221;137;-324
-228;-328;278;245;-275;-65
-274;52;324;-176;353;-108
-210;120;341;88;-315;-91
-241;-194;-323;290;211;-92
239;183;88;-76;-101;-296
-114;35;-28;105;10;227
-290;-26;65;-226;80;-323
55;247;0;-44;-253;-340
185;213;-149;-277;-90;237
246;119;332;319;-279;107
-14;-313;287;-2;196;-317
-171;109;-264;100;-83;192
110;-85;-144;-115;302;-32
-41;-33;321;-203;276;-346
-114;192;-113;86;-34;-353
71;73;108;-113;-5;145
280;-321;-290;108;190;352
-270;-98;127;-90;262;-150
-264;124;-214;266;181;-58
-360;-253;-163;269;73;-129
-156;-47;291;307;4;92
158;-343;54;-327;-56;-23
-344;-314;306;25;-96;-98
-251;-253;-108;-118;205;-10
-25;-266;279;126;242;113
349;346;-180;90;165;-1
252;-223;-271;-358;-250;25
8;-83;-137;-358;227;100
-37;-185;219;234;254;-24
339;246;-304;-189;229;-68
-24;326;335;191;54;300
-3;-241;-125;-147;42;-312
-311;-240;323;224;152;339
359;351;-252;331;22;-307
-136;285;241;-359;101;219
-184;-314;-171;-286;-12;-58
-86;279;-57;-156;-326;-202
-188;-339;146;-355;80;-66
-181;110;-130;-286;26;-242
276;120;251;189;221;96
152;136;-129;23;269;-321
0;-48;291;94;348;61
246;-22;33;-231;97;334
25;-15;212;-294;275;-358
8;129;47;-16;-129;73
298;132;322;-289;8;-281
33;136;-254;200;-73;287
-139;-316;-202;-301;325;-349
-278;-352;-205;-352;103;12
-183;-221;-295;-95;-355;74
-15;-138;176;245;-171;10
-38;-114;245;348;91;-230
-272;58;-124;-167;36;-230
129;-320;-336;-154;-305;289
250;-75;-238;-50;-60;165
-67;326;297;325;-111;-151
279;-209;-266;15;292;-70
-205;-304;312;74;-88;119
211;-120;139;-214;331;153
-240;-41;96;310;21;91
130;305;-250;-68;-135;140
282;-7;220;-125;36;-80
286;127;237;-281;-159;193
-205;-336;-46;315;-172;50
-101;-341;0;236;-174;-327
-183;116;-123;115;-351;157
-79;-336;-68;156;304;349
349;286;264;217;40;-58
-269;111;262;-163;245;-309
-87;-167;-250;94;-132;331
-1;172;-351;76;55;222
112;273;290;-251;-222;210
-317;-79;-144;169;-285;211
204;23;-178;-309;91;-343
-316;-267;-36;124;257;-1
-325;-134;102;206;-152;-2
230;69;26;-122;-64;212
-113;-27;-95;129;49;109
-6;-73;-16;-312;-64;338
202;165;192;185;247;195
345;-280;-75;-6;-174;-334
342;163;-254;-254;148;-86
-305;-64;-257;216;310;-357
108;129;-178;247;-149;-341
-293;215;152;204;89;235
-335;-68;-180;-14;275;-158
71;-342;-249;241;-220;238
-117;123;-323;169;0;320
-152;-89;-278;335;-49;-300
156;5;-124;183;242;-178
25;-47;-247;72;315;-283
288;36;-52;-251;-182;-38
24;-105;197;275;169;-67
75;102;-269;-3;-137;57
320;-53;-337;310;306;-102
-173;207;8;45;133;-294
269;319;-291;249;295;-352
17;108;-83;108;190;55
95;-160;245;-53;95;240
-166;-72;39;-40;-295;176
-337;-51;-334;343;16;295
-84;277;-177;295;284;-73
90;49;284;-206;-358;274
-191;-184;102;-141;235;277
321;-79;217;-247;90;143
-299;22;280;-170;-191;245
-3;-251;-194;114;45;-150
88;156;-158;-63;-99;203
-263;290;-152;0;204;128
-252;142;-267;322;279;11
129;344;-270;182;236;203
-223;-51;-350;-126;-263;-36
52;211;-58;23;307;288
32;289;-323;223;-119;-196
232;-109;-241;-340;328;130
260;317;130;301;-175;278
303;-144;-308;193;-299;165
-38;109;-238;23;96;-350
-21;279;-278;-41;115;-148
325;140;-211;39;273;42
182;285;246;-266;-224;-250
-340;-354;70;79;302;168
-143;-3;-174;168;-276;177
223;177;-117;61;-22;-298
237;134;-168;338;-228;-144
-64;-190;-220;148;-230;16
-147;-27;307;-205;-360;293
130;11;16;-286;358;-102
90;-77;-355;33;7;-183
-328;246;-326;-132;204;341
62;200;164;109;119;316
25;-73;123;-43;-265;-44
34;-76;-73;181;16;-7
-297;-180;-38;99;151;355
312;-294;327;-243;339;70
-187;-310;-144;226;-305;-105
-265;-246;-316;146;-298;84
-235;109;-1;-155;238;230
316;-360;101;-355;-284;-284
-96;-188;-111;-181;-81;-57
101;207;-166;248;173;235
-229;-313;80;145;-280;-291
71;225;227;-296;167;291
-34;-310;-187;167;-331;-54
29;327;-210;-277;105;-282
349;-181;77;228;238;-8
188;299;289;-206;34;205
-220;178;-18;60;-173;-299
-146;301;-21;-166;190;196
-345;274;215;-127;122;-147
310;-157;-239;177;-16;111
336;-135;-305;210;-97;61
-228;-305;-250;236;-144;-84
109;229;192;-91;-224;106
-358;-157;100;66;-126;353
-272;170;-248;-47;240;-101
-306;41;-163;-265;144;-10
-229;-288;-215;-263;-127;325
23;-182;-45;122;34;79
262;-86;179;-248;-319;-116
229;-88;341;76;-117;309
287;253;-175;-155;202;145
-5;337;-17;357;-7;2
194;-81;-34;-265;186;47
107;215;-202;258;292;-150
163;-116;-164;-238;118;26
237;-168;-233;-50;-18;206
-266;-323;92;-340;-262;140
11;31;222;212;1;-161
-274;279;339;319;100;-295
-307;-229;-338;162;-257;98
209;48;-88;232;-141;-130
205;3;-172;168;-243;304
-200;-300;-307;194;229;173
186;333;-24;207;-56;320
-360;347;51;-111;41;-144
-246;119;133;211;-109;-180
-112;-124;308;185;-153;77
192;250;290;69;-311;-203
266;-62;116;204;-182;39
-195;-356;192;-345;-77;-178
-213;117;299;-356;178;216
294;342;-274;14;232;99
327;322;336;-312;-45;-129
-264;-263;221;18;320;352
-65;-93;-197;-39;-169;-29
-48;-173;-264;-58;5;-127
133;-41;-46;211;228;182
209;1;40;94;-290;-183
83;-141;192;-168;-332;-147
41;338;136;157;43;24
271;-77;-30;-210;185;34
-103;145;-282;-356;70;115
58;296;98;18;-173;-324
167;-242;-158;-173;34;30
208;266;207;338;-230;310
-328;-187;-354;124;292;52
-248;2;49;-225;-127;156
38;-258;-86;-75;55;-347
56;312;-283;167;339;79
158;-142;-30;-326;-83;-100
-153;228;-36;221;209;-156
-311;-321;99;-55;292;-60
-249;29;315;116;-76;-174
251;321;-89;-312;-230;55
-226;-150;-28;-110;-131;-29
-190;-340;114;-246;218;-66
-124;177;178;-235;-276;-235
92;247;7;-241;155;293
-203;267;-208;243;259;17
-16;281;-314;7;87;168
-195;-345;-260;194;339;-82
356;-125;-262;-83;45;96
30;-133;-246;-250;-262;151
-25;-279;145;-231;219;10
35;-211;205;19;51;-56
159;-308;68;261;-37;110
-142;77;-159;216;214;327
-40;-31;72;247;-338;-225
320;323;-34;224;309;125
-92;-68;-44;129;-25;327
-105;-116;285;33;180;-270
-34;-307;118;147;302;115
137;255;-23;-30;221;234
-223;-342;-320;-257;-237;91
-339;-20;129;-278;-190;-152
-236;-127;217;-144;199;38
39;166;197;289;-261;212
-224;-340;-269;-264;-268;314
-164;319;100;269;-96;-190
-225;33;-177;-140;-349;63
334;252;-355;97;-101;-278
29;-60;12;278;-253;-47
-318;-86;160;-292;121;-147
71;-251;-46;-351;-195;-170
8;-205;-111;179;-62;-320
-79;-18;235;-142;232;47
-321;-173;64;-15;-217;-188
202;85;-257;156;-71;-27
149;-71;-350;-307;66;-39
308;-292;-90;33;-280;292
